V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,
1.449,-1.1763,0.91386,-1.3757,-1.9714,-0.62915,-1.4232,0.048456,-1.7204,1.6267,1.1996,-0.67144,-0.51395,-0.095045,0.23093,0.031967,0.25341,0.85434,-0.22137,-0.38723,-0.0093019,0.31389,0.02774,0.50051,0.25137,-0.12948,0.04285,0.016253,7.8,0
0.38498,0.61611,-0.8743,-0.094019,2.9246,3.317,0.47045,0.53825,-0.55889,0.30976,-0.25912,-0.32614,-0.090047,0.36283,0.9289,-0.12949,-0.80998,0.35999,0.70766,0.12599,0.049924,0.23842,0.0091299,0.99671,-0.76731,-0.49221,0.042472,-0.054337,9.99,0
1.25,-1.2216,0.38393,-1.2349,-1.4854,-0.75323,-0.6894,-0.22749,-2.094,1.3237,0.22767,-0.24268,1.2054,-0.31763,0.72567,-0.81561,0.87394,-0.84779,-0.68319,-0.10276,-0.23181,-0.48329,0.084668,0.39283,0.16113,-0.35499,0.026416,0.042422,121.5,0
1.0694,0.28772,0.82861,2.7125,-0.1784,0.33754,-0.096717,0.11598,-0.22108,0.46023,-0.77366,0.32339,-0.011076,-0.17849,-0.65556,-0.19993,0.12401,-0.9805,-0.98292,-0.1532,-0.036876,0.074412,-0.071407,0.10474,0.54826,0.10409,0.021491,0.021293,27.5,0
-2.7919,-0.32777,1.6418,1.7675,-0.13659,0.8076,-0.42291,-1.9071,0.75571,1.1511,0.84456,0.79294,0.37045,-0.73498,0.4068,-0.30306,-0.15587,0.77827,2.2219,-1.5821,1.1517,0.22218,1.0206,0.028317,-0.23275,-0.23556,-0.16478,-0.030154,58.8,0
-0.75242,0.34549,2.0573,-1.4686,-1.1584,-0.07785,-0.60858,0.0036035,-0.43617,0.74773,-0.79398,-0.77041,1.0476,-1.0666,1.107,1.6601,-0.27927,-0.41999,0.43254,0.26345,0.49962,1.3537,-0.25657,-0.065084,-0.039124,-0.087086,-0.181,0.12939,15.99,0
1.1032,-0.040296,1.2673,1.2891,-0.736,0.28807,-0.58606,0.18938,0.78233,-0.26798,-0.45031,0.93671,0.70838,-0.46865,0.35457,-0.24663,-0.0092124,-0.59591,-0.57568,-0.11391,-0.024612,0.196,0.013802,0.10376,0.3643,-0.38226,0.092809,0.037051,12.99,0
-0.43691,0.91897,0.92459,-0.72722,0.91568,-0.12787,0.70764,0.087962,-0.66527,-0.73798,0.3241,0.27719,0.25262,-0.2919,-0.18452,1.1432,-0.92871,0.68047,0.025436,-0.047021,-0.1948,-0.67264,-0.15686,-0.88839,-0.34241,-0.049027,0.079692,0.13102,0.89,0
-5.4013,-5.4501,1.1863,1.7362,3.0491,-1.7634,-1.5597,0.16084,1.2331,0.34517,0.91723,0.97012,-0.26657,-0.47913,-0.52661,0.472,-0.72548,0.075081,-0.40687,-2.1968,-0.5036,0.98446,2.4586,0.042119,-0.48163,-0.62127,0.39205,0.94959,46.8,0
1.4929,-1.0293,0.45479,-1.438,-1.5554,-0.72096,-1.0807,-0.053127,-1.9787,1.6381,1.0775,-0.63205,-0.41696,0.052011,-0.042979,-0.16643,0.30424,0.55443,0.05423,-0.38791,-0.17765,-0.17507,0.040002,0.29581,0.33293,-0.22038,0.022298,0.0076023,5,0
0.69488,-1.3618,1.0292,0.83416,-1.1912,1.3091,-0.87859,0.44529,-0.4462,0.56852,1.0192,1.2983,0.42048,-0.37265,-0.80798,-2.0446,0.51566,0.62585,-1.3004,-0.13833,-0.29558,-0.57196,-0.050881,-0.30421,0.072001,-0.42223,0.086553,0.063499,231.71,0
0.9625,0.32846,-0.17148,2.1092,1.1296,1.696,0.10771,0.5215,-1.1913,0.7244,1.6903,0.40677,-0.93642,0.98374,0.71091,-0.60223,0.40248,-1.7372,-2.0276,-0.26932,0.144,0.40249,-0.048508,-1.3719,0.39081,0.19996,0.016371,-0.014605,34.09,0
1.1666,0.50212,-0.0673,2.2616,0.4288,0.089474,0.24115,0.13808,-0.98916,0.92217,0.74479,-0.53138,-2.1053,1.1269,0.0030753,0.42442,-0.45448,-0.098871,-0.8166,-0.30717,0.018702,-0.061972,-0.10385,-0.37042,0.6032,0.10856,-0.040521,-0.011418,2.28,0
0.24749,0.27767,1.1855,-0.092603,-1.3144,-0.15012,-0.94636,-1.6179,1.5441,-0.82988,-0.5832,0.52493,-0.45338,0.081393,1.5552,-1.3969,0.78313,0.43662,2.1778,-0.23098,1.6502,0.20045,-0.18535,0.42307,0.82059,-0.22763,0.33663,0.25048,22.75,0
-1.9465,-0.044901,-0.40557,-1.0131,2.942,2.9551,-0.063063,0.85555,0.049967,0.57374,-0.081257,-0.21575,0.044161,0.033898,1.1907,0.57884,-0.97567,0.044063,0.4886,-0.21672,-0.57953,-0.79923,0.8703,0.98342,0.3212,0.14965,0.70752,0.0146,0.89,0
-2.0743,-0.12148,1.322,0.41001,0.2952,-0.95954,0.54399,-0.10463,0.47566,0.14945,-0.85657,-0.18052,-0.65523,-0.2798,-0.21167,-0.33332,0.010751,-0.48847,0.50575,-0.38669,-0.40364,-0.2274,0.74243,0.39853,0.24921,0.2744,0.35997,0.24323,26.43,0
1.1733,0.3535,0.28391,1.1336,-0.17258,-0.91605,0.36902,-0.32726,-0.24665,-0.046139,-0.14342,0.97935,1.4923,0.10142,0.76148,-0.014584,-0.51164,-0.32506,-0.39093,0.027878,0.067003,0.22781,-0.15049,0.43505,0.72482,-0.33708,0.016368,0.030041,41.88,0
1.3227,-0.17404,0.43456,0.57604,-0.83676,-0.83108,-0.2649,-0.22098,-1.0714,0.86856,-0.64151,-0.11132,0.36149,0.17195,0.78217,-1.3559,-0.21694,1.2718,-1.2406,-0.52295,-0.28438,-0.32336,-0.03771,0.34715,0.55964,-0.28016,0.042335,0.028822,16,0
-0.41429,0.90544,1.7275,1.4735,0.0074427,-0.20033,0.74023,-0.029247,-0.59339,-0.34619,-0.012142,0.7868,0.63595,-0.086324,0.076804,-1.4059,0.77559,-0.94289,0.54397,0.097308,0.077237,0.45733,-0.0385,0.64252,-0.18389,-0.27746,0.18269,0.15266,33,0
1.0594,-0.17532,1.2661,1.1861,-0.786,0.57844,-0.76708,0.40105,0.6995,-0.064738,1.0483,1.0056,-0.542,-0.039915,-0.21868,0.0044757,-0.19355,0.042388,-0.27783,-0.17802,0.013676,0.21373,0.014462,0.0029509,0.29464,-0.39507,0.081461,0.02422,12.99,0
1.2374,0.061043,0.38053,0.76156,-0.35977,-0.49408,0.0064942,-0.13386,0.43881,-0.20736,-0.92918,0.52711,0.34868,-0.15254,-0.21839,-0.19155,-0.11658,-0.63379,0.34842,-0.066351,-0.24568,-0.5309,-0.044265,0.079168,0.50914,0.28886,-0.022705,0.011836,17.28,0
1.114,0.085546,0.4937,1.3358,-0.30019,-0.010754,-0.11876,0.18862,0.20569,0.082262,1.1336,0.6267,-1.4928,0.52079,-0.67459,-0.52911,0.15826,-0.39875,-0.14571,-0.27383,-0.053234,-0.0047602,-0.03147,0.19805,0.56501,-0.33772,0.029057,0.0044526,4.45,0
-0.52991,0.87389,1.3472,0.14546,0.41421,0.10022,0.71121,0.17607,-0.28672,-0.48469,0.87249,0.85164,-0.57175,0.10097,-1.5198,-0.28438,-0.31052,-0.40425,-0.82337,-0.29035,0.046949,0.2081,-0.18555,0.0010307,0.098816,-0.5529,-0.073288,0.023307,6.14,0
-0.52991,0.87389,1.3472,0.14546,0.41421,0.10022,0.71121,0.17607,-0.28672,-0.48469,0.87249,0.85164,-0.57175,0.10097,-1.5198,-0.28438,-0.31052,-0.40425,-0.82337,-0.29035,0.046949,0.2081,-0.18555,0.0010307,0.098816,-0.5529,-0.073288,0.023307,6.14,0
-0.53539,0.86527,1.3511,0.14758,0.43368,0.086983,0.69304,0.17974,-0.28564,-0.48247,0.8718,0.85345,-0.57182,0.10225,-1.52,-0.28591,-0.30963,-0.4039,-0.82374,-0.28326,0.049526,0.20654,-0.18711,0.00075301,0.098117,-0.55347,-0.078306,0.025427,1.77,0
-0.53539,0.86527,1.3511,0.14758,0.43368,0.086983,0.69304,0.17974,-0.28564,-0.48247,0.8718,0.85345,-0.57182,0.10225,-1.52,-0.28591,-0.30963,-0.4039,-0.82374,-0.28326,0.049526,0.20654,-0.18711,0.00075301,0.098117,-0.55347,-0.078306,0.025427,1.77,0
-0.24605,0.47327,1.6957,0.26241,-0.010866,-0.61084,0.79394,-0.24725,0.13888,-0.40101,-0.81205,-0.18352,-0.63011,-0.28622,-0.33705,-0.42811,-0.030602,-0.50457,0.35518,0.045721,-0.1946,-0.33513,-0.07818,0.39278,-0.031157,0.19804,-0.17535,-0.20362,30.49,0
-1.4522,1.7651,0.61167,1.1768,-0.44598,0.24683,-0.25757,1.0925,-0.60752,0.047156,0.78373,1.0964,-0.26809,0.76865,-0.52437,-0.80882,0.71039,-0.11837,0.97929,0.0087133,0.08228,0.32578,-0.069107,0.020962,-0.044668,-0.24344,0.14918,0.12056,1.8,0
0.99637,-0.12259,0.54682,0.70658,0.13456,1.157,-0.29456,0.40743,0.33786,-0.40815,0.68265,1.2537,0.39192,-0.037511,0.7953,-1.6682,1.323,-2.83,-1.4634,-0.20346,-0.076302,0.10887,0.16223,-0.57562,0.10979,0.37381,0.050552,0.0051056,20.53,0
1.1109,0.16872,0.51714,1.3254,-0.19157,0.019504,-0.031849,0.11762,0.017665,0.044865,1.3451,1.2863,-0.25227,0.27446,-0.81039,-0.58701,0.087451,-0.55047,-0.15475,-0.19012,-0.037709,0.095701,-0.048198,0.23211,0.6062,-0.3421,0.03677,0.00748,6.54,0
1.2491,-0.62473,-0.71059,-0.9916,1.43,3.693,-1.0902,0.96729,0.85015,-0.30708,-0.45625,0.22998,-0.016913,-0.22085,0.36242,0.31522,-0.51227,0.11899,0.57472,0.097853,-0.0062927,0.0092002,-0.12946,1.113,0.50038,1.1965,-0.04822,0.0050936,29.89,0
-2.0089,2.1985,0.14424,1.1594,-0.81517,0.18229,-0.61711,1.5308,-0.58683,0.12988,0.65848,1.265,-0.20652,1.0136,-0.54941,-0.70803,0.86964,-0.09566,0.9444,0.02874,0.094917,0.29498,0.011081,0.015249,0.034211,-0.23614,0.12829,0.11799,2.35,0
-0.60788,1.0313,1.7404,1.2321,0.41859,0.11917,0.85089,-0.17627,-0.2435,0.14846,-0.387,0.3983,0.48192,-0.36544,0.23554,-1.3478,0.50465,-0.7984,0.75971,0.25432,-0.087329,0.25832,-0.26478,0.11828,0.17351,-0.21704,0.094312,-0.033041,14.8,0
-0.93573,0.17042,2.7463,-1.078,-0.30559,0.011577,-0.29618,0.40278,-0.040472,-0.85205,1.5521,0.95356,0.41543,-0.2339,0.45234,0.84437,-0.82274,0.33882,-1.2142,-0.0054195,0.40121,1.0649,-0.15833,0.29551,-0.25937,0.75419,0.046664,0.093948,9.1,0
-0.76226,0.12777,2.6501,-1.8757,-0.89336,-0.26871,-0.41986,0.14623,-0.86964,-0.038652,-0.68612,-0.50291,1.3808,-1.0391,0.65284,1.8987,-0.45841,-0.5598,-0.2951,0.35939,0.43335,1.2604,-0.4047,0.094946,0.48098,-0.090685,0.31922,0.1356,15.99,0
1.1383,0.056956,0.64942,0.87306,-0.46847,-0.41019,-0.013898,-0.07244,0.30679,-0.26995,-0.0026018,1.1243,0.74421,-0.18835,-0.075662,-0.70919,0.38122,-1.3721,-0.2737,-0.078355,-0.16422,-0.2474,0.059405,0.45629,0.361,0.27441,-0.0024984,0.017109,21.34,0
-0.29154,0.44558,1.2498,-1.7357,0.085756,-0.12192,0.40772,0.095309,0.8159,-1.4912,-0.84619,0.056533,-0.058954,0.15192,1.9826,-0.4433,-0.31825,0.064787,0.61351,-0.033522,-0.064906,-0.12045,-0.15653,-0.80021,-0.00062039,-0.8352,0.131,0.062896,18.95,0
0.20169,0.49748,1.3739,0.57141,-0.63066,-0.53966,-0.07627,-0.91711,0.27001,-0.48028,-0.51253,0.68091,0.089923,-0.15741,-0.58882,-0.47791,0.22539,-0.66868,-0.023599,-0.2223,0.71896,-0.17188,-0.16621,0.77647,0.81846,0.44255,0.14276,0.21924,9.99,0
1.3864,-0.79421,0.77822,-0.86471,-1.0641,0.3513,-1.1915,0.052686,-0.3044,0.57652,-1.6311,0.04256,2.0479,-0.73934,1.4562,-0.27205,-0.93201,1.9265,-0.65994,-0.27303,-0.22873,-0.12352,-0.13103,-0.92967,0.18138,1.1949,0.00053133,0.019911,30.9,0
-1.0632,1.4182,1.0867,1.2414,0.0023061,0.045902,0.51412,0.24125,-0.1545,0.28067,-0.53195,0.58986,0.55509,-0.11636,0.16589,-1.2372,0.63841,-0.77607,0.69281,0.23501,-0.057228,0.31415,-0.12986,0.11428,-0.027812,-0.25994,0.11875,-0.0089563,20.22,0
1.1994,0.12995,0.86358,1.0026,-0.78376,-0.88468,-0.040743,-0.20807,0.39248,-0.24818,-0.095363,1.3141,1.0917,-0.40935,-0.57799,-0.58128,0.21234,-0.89318,-0.020653,-0.07262,-0.042468,0.19847,-0.03301,1.0133,0.5591,0.40182,-0.0058647,0.017936,0.99,0
-1.0049,-0.98598,-0.038039,3.7101,-6.632,5.1221,4.3717,-2.0069,-0.27874,-0.23087,0.14516,-0.063156,-0.79959,-0.34196,-0.93053,0.51051,0.092428,0.82398,1.1904,-0.00198,1.3934,-0.38167,0.96972,0.019445,0.57092,0.33328,0.85737,-0.075538,1403,0
-1.1694,1.1583,1.4068,0.86019,-0.10381,0.12203,0.26445,-0.10877,-0.18198,0.65959,0.45632,-0.097763,-0.34616,0.21018,2.3452,-1.1726,0.86002,-1.1542,0.85877,-0.12056,0.024498,-0.12015,0.21299,0.087536,-0.94653,0.2267,-0.8101,0.23496,7.99,0
1.0955,-0.11609,1.3979,1.4975,-1.0491,0.072839,-0.7238,0.28753,0.99633,-0.14914,-0.50829,-0.027841,-1.3216,-0.062404,0.50575,-0.2093,0.20754,-0.47133,-0.7363,-0.27503,-0.033234,0.093262,0.089498,0.36126,0.25096,-0.37828,0.081024,0.034227,2.09,0
1.2957,0.34148,0.081505,0.56675,-0.11046,-0.76632,0.073155,-0.1683,0.071837,-0.28104,-0.54953,0.049093,0.30395,-0.31675,1.1349,0.63591,-0.19976,-0.12205,0.0045162,-0.065983,-0.32361,-0.92978,0.063809,-0.19357,0.28757,0.12788,-0.023731,0.0252,0.99,0
0.15833,0.87269,0.96552,1.8021,0.13902,0.11086,0.55908,-0.029071,-0.39491,0.032674,-0.50092,0.63192,0.75469,-0.047655,0.34822,-1.4935,0.75723,-0.68437,1.3034,0.089838,0.11627,0.69169,0.12111,0.11614,-1.1127,-0.30337,0.32753,0.25562,21.76,0
-0.55406,0.21573,0.84426,-0.75307,0.034848,-0.5586,1.0904,-0.20387,0.26239,-1.3547,-0.09488,0.95375,0.83696,0.14475,1.1566,-1.933,0.74135,-0.51361,1.5673,0.38328,0.21213,0.70234,-0.0057006,0.14735,0.24565,-0.44046,0.14713,0.13947,120.96,0
-1.3309,0.26754,-0.16847,-0.70123,3.282,3.2164,-0.059394,0.89543,-0.017779,-0.16575,-0.76505,-0.015636,-0.35663,-0.0412,-0.7351,0.030533,-0.77807,-0.01516,-0.15282,-0.11388,-0.15104,-0.31173,-0.37479,1.0149,0.35399,-0.51033,0.15903,0.22871,13.84,0
1.1107,0.081942,0.40606,1.2907,-0.16981,0.12096,-0.080845,0.17437,0.15207,0.065267,1.0245,0.79314,-1.015,0.423,-0.70663,-0.48846,0.058531,-0.38363,-0.074068,-0.21985,-0.056024,-0.011603,-0.070483,0.0043452,0.60393,-0.32742,0.02989,0.0049443,13.84,0
1.1543,0.26546,0.38487,0.57501,-0.21748,-0.39152,-0.081489,0.062789,-0.26058,-0.16168,2.0529,1.1308,0.18948,-0.070793,0.61935,0.31858,0.090232,-0.33145,-0.34472,-0.09958,-0.19321,-0.55769,0.16949,0.18686,0.089252,0.093626,-0.0096326,0.019668,2.67,0
0.98606,-0.20296,-0.49277,0.40769,0.30566,-0.23053,0.58503,-0.20822,-0.2475,-0.19225,-0.62832,0.43031,0.81125,0.37157,1.0261,-0.028501,-0.30755,-1.0997,0.010739,0.26351,-0.30587,-1.2166,-0.077602,-0.74134,0.28688,0.20035,-0.075203,0.027271,169.05,0
1.1388,-1.193,1.4071,-0.33007,-2.0695,-0.24218,-1.3066,0.10451,0.13463,0.49393,-0.89519,-0.1827,0.14608,-0.58661,0.79719,-0.89172,-0.079208,1.5416,-0.98359,-0.29931,-0.1562,-0.030569,-0.019723,0.43375,-0.029521,1.1412,-0.0086121,0.041564,96.94,0
1.1455,0.57507,0.19401,2.5982,-0.09221,-1.0444,0.53159,-0.24189,-0.89629,0.75795,-0.44894,-0.66086,-1.3085,0.78886,0.32029,0.2954,-0.28788,-0.45145,-1.0114,-0.19105,0.011106,-0.1197,-0.07651,0.69132,0.63398,0.048741,-0.053192,0.016251,34.13,0
-0.24936,0.39923,0.068009,-1.0606,2.4104,3.7366,0.31645,0.6723,0.01514,-0.2695,-0.49512,-0.16151,-0.27421,-0.27619,-0.17241,-0.11896,-0.55,-0.14805,0.77176,0.10768,-0.25766,-0.61676,-0.15667,1.0311,0.12062,0.31049,-0.2883,-0.22396,32.51,0
-0.52267,1.0099,0.27647,1.4753,-0.70701,0.35524,1.5598,-0.39958,-0.47981,0.51635,0.03433,0.58923,1.4269,0.02051,1.6513,-0.96134,0.24636,-0.40754,0.9174,-0.013016,0.1724,1.0115,0.069666,0.15782,-1.1092,-0.30237,0.31817,0.31691,243.66,0
-0.89999,0.13625,1.8837,-0.209,1.0514,1.9052,0.24142,0.64763,-0.053466,-0.50417,1.2546,-0.23663,-2.5176,0.38457,0.34383,-1.3706,0.95857,-1.6072,-0.64726,-0.12173,-0.0815,-0.016926,-0.14771,-1.3846,-0.024352,0.41266,-0.10678,-0.19048,21.55,0
-0.71476,0.51497,1.8217,0.61643,0.84878,-0.11194,1.5056,-0.79817,0.24476,0.26455,-1.1081,-0.35986,-0.16347,-0.784,-0.36715,-0.65312,-0.5043,-0.26056,0.43525,0.10732,-0.22008,-0.017845,-0.43194,-0.13046,0.33716,-0.44004,-0.67453,-0.47322,59.9,0
-0.9489,0.24841,2.9569,2.8137,0.14554,-0.027353,0.1337,-0.30753,-0.12524,1.0349,-0.53265,-0.18988,0.081222,-0.93905,0.081187,-0.12978,-0.17435,-0.090291,0.22243,-0.056186,-0.083647,0.41609,0.20754,0.71606,-0.60231,-0.06423,-0.31506,-0.27246,0.75,0
0.92706,-0.32368,0.38758,0.54447,0.24679,1.6504,-0.42758,0.61537,0.22628,-0.2255,1.9445,1.3852,-0.47926,0.31417,0.21417,-1.3337,1.0029,-2.1193,-1.053,-0.18539,-0.040513,0.079359,0.096632,-0.99257,0.085096,0.37745,0.036096,-0.0059603,45.71,0
-1.9232,-0.87048,2.3202,1.9888,0.41709,-0.38001,0.47214,-0.55733,-0.64908,1.4109,-0.51774,-0.9852,-0.40059,-0.83066,0.33801,0.029924,0.37115,-1.0543,1.8904,-0.36923,-0.68649,-0.77927,1.0861,0.51886,-0.36371,3.0656,-0.58902,-0.39611,35,0
1.0066,-0.071105,0.34761,1.3297,-0.19324,0.15542,0.0085736,0.14654,0.10384,0.03183,1.071,0.94066,-0.72947,0.38011,-0.72913,-0.4934,0.043556,-0.40529,-0.092585,-0.091367,-0.020239,-0.018881,-0.12097,0.027382,0.59386,-0.33469,0.021368,0.01508,67.97,0
-0.37824,0.73293,-0.12015,0.18576,2.5943,3.7972,0.059088,0.97677,-0.41266,0.0067537,-0.62467,-0.11585,-0.21504,0.14045,0.16027,-0.60189,-0.14436,0.22156,1.4549,0.31557,-0.10758,-0.15714,-0.19466,1.0139,0.1455,-0.23762,0.41137,0.20279,11.45,0
1.1978,0.23683,0.50961,0.65766,-0.36549,-0.7451,0.079497,-0.13054,-0.052263,-0.11006,0.30713,0.67066,0.43797,0.26903,1.1274,-0.19692,0.0077037,-1.1226,-0.59092,-0.12098,-0.14988,-0.37421,0.14552,0.41498,0.21216,0.18172,-0.016402,0.015994,3.63,0
-0.58063,0.48268,1.3331,-0.25308,-0.028469,-0.51917,0.50325,0.11777,0.11711,-0.42049,0.44972,-0.017865,-1.9838,0.32166,-1.4253,0.12519,-0.40441,0.097777,-0.020531,-0.29875,-0.042142,-0.14871,0.0014512,0.30276,-0.68071,-0.015554,-0.006307,0.16422,21.66,0
-1.7934,1.8546,0.97951,1.1123,-0.2064,-0.19955,0.61664,0.06418,0.69027,1.5517,-0.16196,0.42421,0.015944,-0.40583,0.27193,-1.423,0.67632,-0.91105,0.46185,0.66785,-0.18072,0.23514,-0.091442,0.41765,0.12273,-0.23299,0.81188,0.61857,26.72,0
1.0986,0.20242,0.52546,1.3234,-0.13049,0.039924,0.028379,0.072841,-0.097869,0.019513,1.4744,1.6897,0.50678,0.12514,-0.89271,-0.62168,0.04434,-0.64209,-0.16199,-0.12804,-0.024972,0.15426,-0.063147,0.25321,0.62941,-0.34534,0.040469,0.010264,13.18,0
-0.54963,0.41895,1.7298,0.20307,-0.18701,0.25388,0.50089,0.25126,-0.22798,-0.57617,1.102,0.82371,-0.56951,0.0087101,-1.0414,-0.6034,0.22548,-0.35213,0.19495,0.01697,0.11506,0.41853,-0.065133,0.26498,0.0039582,0.39597,0.027182,0.043506,59.99,0
0.92154,-0.067084,0.077461,0.95364,0.067412,0.016152,0.32045,0.038534,-0.39151,0.03156,1.3917,1.0794,0.10627,0.66599,0.44225,0.12265,-0.49239,-0.53514,-0.078082,0.12005,-0.33393,-1.2999,0.084311,-0.3704,0.1551,-0.83449,0.00090907,0.035547,135.51,0
-0.57152,1.0716,1.2801,0.54278,0.57444,-0.25936,1.0611,-0.41097,-0.17913,1.0035,1.0624,0.15942,-0.28986,0.0058047,0.46044,-0.22104,-0.77585,0.65702,0.80758,0.35473,0.0035585,0.56124,-0.19929,0.0013874,-0.17953,-0.37412,0.071641,-0.17551,9.79,0
-0.67171,0.5945,0.21642,-0.86731,2.9669,3.6325,0.5633,0.67303,-0.18877,-0.40438,-0.69971,-0.18414,-0.42681,-0.183,-0.74773,-0.037708,-0.86646,-0.0072573,-0.16043,-0.0027843,-0.13644,-0.30036,-0.33169,0.99638,0.50247,-0.51804,-0.20828,-0.11605,14.8,0
1.2599,0.25424,0.51479,0.62092,-0.47593,-0.99229,0.066417,-0.20928,0.035572,-0.067616,-0.20411,0.4026,0.37665,0.22714,1.025,0.29953,-0.42605,-0.55032,-0.1199,-0.08897,-0.25653,-0.73921,0.13573,0.38199,0.2193,0.094291,-0.028687,0.019198,1.98,0
1.1474,0.059035,0.26363,1.211,-0.044096,0.30107,-0.13296,0.22789,0.25219,0.083904,0.64505,0.41336,-1.468,0.50286,-0.62694,-0.36972,-0.031799,-0.21534,0.05502,-0.25592,-0.087813,-0.11076,-0.097771,-0.32337,0.63328,-0.30533,0.027394,-0.00058046,6.67,0
-3.0052,2.6001,1.4837,-2.4185,0.30633,-0.82457,2.0654,-1.8293,4.0093,6.0515,2.5725,0.066851,-0.35357,-2.8371,0.29223,-0.30377,-1.9423,-0.43545,-0.93402,2.4567,-0.85231,-0.18127,-0.16375,0.51582,0.13632,0.46005,-0.25126,-1.1058,1.46,0
-1.199,-1.4741,1.8403,-4.5158,0.32757,-0.17447,0.95973,-1.0265,1.7004,-0.078942,1.6627,0.48562,-0.93302,-1.1188,0.14125,-2.8119,-0.50475,0.89122,-1.512,-0.76985,-0.45317,0.33461,-0.36454,-0.31019,-0.3026,-1.2439,-1.1235,-0.73435,89.17,0
1.2024,0.32171,0.28121,0.64369,-0.14867,-0.58974,0.048413,-0.093361,-0.042934,-0.34325,0.23511,0.56988,0.67633,-0.35125,1.2951,0.16486,0.24641,-0.80446,-0.56174,-0.070751,-0.25111,-0.68016,0.14816,0.047062,0.15705,0.12193,-0.0046079,0.029418,7.53,0
-4.5751,-4.4292,3.4026,0.90391,3.0022,-0.49108,-2.7054,0.66645,1.9222,-0.61431,0.38493,1.1944,-1.0207,-1.2468,-2.3487,-0.21344,-0.10022,-0.40607,-1.6376,-0.96096,-0.047365,0.85336,-0.9716,-0.11486,0.4083,-0.30458,0.54778,-0.4563,200.01,0
